overall,PaperId
8,1032
3,1064
8,1048
5,1011
5,1032
3,1027
5,1012
5,1048
5,1012
5,1011
3,1027
3,1027
3,1046
5,1010
6,1037
3,1010
6,1064
5,1032
3,1027
8,1025
5,1037
6,1064
6,1037
1,1021
6,1064
6,1021
8,1048
5,1037
5,1046
3,1010
5,1025
5,1048
8,1025
8,1011
6,1032
5,1012
5,1064
6,1025
5,1010
6,1012
5,1021
3,1021
8,1051
6,1051
6,1069
6,1055
6,1005
6,1005
8,1036
5,1059
5,1051
5,1000
3,1000
6,1005
6,1000
6,1051
5,1071
6,1005
6,1016
5,1036
6,1005
8,1055
5,1071
3,1071
3,1000
8,1055
5,1016
5,1046
5,1033
5,1059
8,1055
5,1046
1,1036
5,1069
5,1016
3,1036
5,1059
3,1069
6,1016
6,1059
3,1071
6,1055
5,1069
5,1140
8,1163
6,116
6,110
3,1167
6,1158
6,1140
6,1156
8,1156
5,1140
6,116
6,1156
5,1140
5,1160
8,1163
3,1177
3,1160
5,110
8,116
6,110
5,1158
3,1167
6,1156
3,1160
6,1163
6,1177
6,110
6,1163
5,1177
8,116
5,1167
5,1158
3,1177
3,1167
8,1178
8,116
3,1141
6,1182
6,1147
6,1178
8,1028
6,1178
8,1182
3,1112
3,1180
6,1092
5,1130
6,1178
6,1028
5,1130
6,1028
8,1028
3,1141
6,1092
3,1180
6,1147
5,1182
3,1182
5,1112
3,1130
5,1130
3,1141
6,1092
6,1147
6,1147
5,1112
3,1141
3,1112
5,1180
6,1092
3,1141
6,1135
3,1173
3,117
6,1186
6,1135
3,1135
3,117
6,1173
6,1179
5,1191
8,1154
5,1164
3,1173
6,117
5,1125
3,1187
3,1150
5,1164
6,1164
6,1186
5,1187
6,1186
5,1187
6,1154
6,1191
5,1150
8,1150
6,1125
5,117
5,1191
8,1154
6,1154
6,1125
6,1186
1,1164
3,1191
5,1150
6,1179
5,1199
6,1198
8,1175
3,1210
1,1205
5,1181
6,1157
3,1200
8,1175
8,1192
5,1210
6,1179
3,118
3,1200
5,1199
5,1192
6,1175
5,1179
3,1210
3,118
6,118
3,118
6,1192
6,1198
6,1157
8,1198
5,1205
6,1199
3,1210
3,1205
5,1157
5,1181
8,1175
8,1181
8,1181
5,1199
5,1192
3,1210
8,1157
10,1175
6,1198
6,1201
6,1197
6,1190
6,1144
5,1204
5,1201
3,1208
5,1212
6,1212
6,1212
5,1201
5,1190
6,1190
3,1200
6,1208
6,1129
1,1144
3,119
3,1200
5,1144
8,119
3,1201
5,1129
3,1208
10,1212
5,1201
6,1197
6,1195
3,1204
6,1190
3,1129
6,1195
6,1195
6,119
6,1144
6,1197
8,1195
6,1204
6,1204
5,1197
3,1217
3,1225
3,1224
5,1202
3,1224
5,1221
5,1202
6,1165
5,1216
3,1217
10,1127
6,1194
6,1202
8,1194
6,1165
5,1127
8,1185
8,1185
6,1185
1,1225
3,1216
5,1221
5,1127
6,1127
6,1194
6,1165
6,1216
3,1217
5,1202
6,1165
6,1221
3,1224
5,1224
3,1225
3,1217
5,1185
6,1216
3,1225
8,1221
5,1226
3,1241
6,1171
3,1239
8,1089
8,1171
5,1218
3,122
8,1203
1,123
3,1226
5,1232
3,123
5,1232
3,123
5,1218
5,1239
5,1226
5,1089
8,1203
3,1241
3,1239
5,122
8,1171
5,1194
6,1218
5,1218
5,1226
6,1232
3,121
5,122
3,1239
5,1089
8,1171
3,121
5,122
6,1203
6,121
5,1232
5,1089
5,1241
